productnr,category,prompt
1,Curtains,"A high-quality picture of a silver curtains made from wooden, displayed on a marble table"
2,Handbags,"A high-quality picture of a orange handbags made from plastic, displayed on a wooden surface"
3,Paintings,"A high-quality picture of a beige paintings made from cotton, displayed outdoors"
4,Jackets,"A high-quality picture of a red jackets made from stainless steel, displayed outdoors"
5,Pillows,"A high-quality picture of a white pillows made from stainless steel, displayed in natural lighting"
6,Hats,"A high-quality picture of a green hats made from cotton, displayed on a white background"
7,Hats,"A high-quality picture of a brown hats made from wooden, displayed in a studio setting"
8,Scarves,"A high-quality picture of a blue scarves made from ceramic, displayed outdoors"
9,Paintings,"A high-quality picture of a purple paintings made from leather, displayed on a wooden surface"
10,Laundry baskets,"A high-quality picture of a pink laundry baskets made from plastic, displayed in natural lighting"
11,Water bottles,"A high-quality picture of a purple water bottles made from ceramic, displayed on a marble table"
12,Backpacks,"A high-quality picture of a black backpacks made from leather, displayed in a modern living room"
13,Bathrobes,"A high-quality picture of a brown bathrobes made from metal, displayed in a modern living room"
14,Paintings,"A high-quality picture of a brown paintings made from leather, displayed outdoors"
15,Curtains,"A high-quality picture of a purple curtains made from glass, displayed in a modern living room"
16,Bathrobes,"A high-quality picture of a navy bathrobes made from metal, displayed in a modern living room"
17,Blenders,"A high-quality picture of a red blenders made from stainless steel, displayed on a marble table"
18,Cookware sets,"A high-quality picture of a red cookware sets made from plastic, displayed on a wooden surface"
19,Slippers,"A high-quality picture of a yellow slippers made from ceramic, displayed on a marble table"
20,Alarm clocks,"A high-quality picture of a blue alarm clocks made from wooden, displayed outdoors"
21,Lamps,"A high-quality picture of a orange lamps made from stainless steel, displayed on a marble table"
22,T-shirts,"A high-quality picture of a pink t-shirts made from wooden, displayed on a wooden surface"
23,Toasters,"A high-quality picture of a blue toasters made from stainless steel, displayed outdoors"
24,Belts,"A high-quality picture of a silver belts made from ceramic, displayed in a studio setting"
25,Paintings,"A high-quality picture of a pink paintings made from cotton, displayed against a pastel background"
